N,P,K,temperature,humidity,ph,rainfall,previous_crop,farm_size_hectares,current_crop
27.51,63.81,20.03,29.49,52.71,5.87,67.83,Wheat,0.88,MungBean
67.85,42.24,57.44,33.22,84.17,6.18,205.12,Fallow,5.37,Rice
31.18,39.42,36.63,19.25,52.69,6.98,16.68,Wheat,0.8,Mustard
74.66,54.86,49.65,30.47,84.11,6.35,288.78,Wheat,0.37,Sugarcane
21.93,28.97,28.88,17.9,53.11,6.9,49.61,Wheat,0.22,Mustard
23.02,43.71,74.16,16.14,50.16,7.82,40.9,Millet,0.32,Chickpea
72.21,45.24,45.08,32.04,89.48,5.88,278.82,Maize,0.38,Rice
87.15,46.37,53.1,31.6,71.52,6.84,202.36,Maize,0.76,Rice
26.13,45.0,78.14,11.68,41.85,7.29,48.46,Millet,0.74,Chickpea
31.0,35.16,23.27,17.97,52.05,6.12,40.91,Wheat,0.56,Mustard
81.3,48.29,55.08,33.95,75.03,6.76,237.9,Wheat,0.79,Sugarcane
23.57,73.87,16.33,26.59,66.3,5.59,78.48,Wheat,0.27,PigeonPeas
28.04,72.34,16.29,26.29,68.8,6.26,73.87,Wheat,0.68,PigeonPeas
28.61,49.41,82.01,12.57,54.1,7.14,42.28,Millet,0.94,Chickpea
83.63,47.19,57.96,34.5,75.33,7.32,233.36,Wheat,0.64,Sugarcane
86.64,51.69,57.24,34.01,88.85,6.73,254.11,Wheat,0.48,Sugarcane
84.97,49.67,26.09,28.59,60.23,6.74,256.46,Wheat,0.42,Maize
22.62,48.33,72.49,10.06,41.79,7.38,45.54,Maize,0.78,Chickpea
84.88,48.55,27.65,16.18,61.37,7.17,13.74,Rice,0.17,Wheat
77.85,45.14,57.38,30.7,73.54,7.59,214.25,Rice,0.35,Sugarcane
82.91,56.86,38.98,29.77,64.1,7.23,235.51,Rice,0.29,Maize
76.84,50.45,21.89,13.5,79.85,6.62,20.45,Rice,0.77,Wheat
39.11,69.61,20.47,25.2,53.01,6.37,68.29,Wheat,0.13,MungBean
25.37,46.51,80.13,16.62,42.31,7.21,32.16,Maize,1.81,Chickpea
91.41,51.82,21.56,34.58,68.53,7.25,240.49,Rice,0.31,Maize
83.29,57.96,54.49,34.17,81.44,6.44,246.69,Wheat,0.66,Sugarcane
78.72,52.32,58.33,32.26,80.78,5.71,261.13,Wheat,0.42,Rice
22.03,66.59,18.32,26.16,59.39,5.76,59.16,Wheat,1.82,MungBean
23.06,38.17,72.56,15.83,52.88,7.34,23.98,Maize,0.54,Chickpea
37.5,72.52,19.8,27.88,67.03,5.55,99.09,Wheat,0.18,PigeonPeas
83.81,56.02,54.7,33.27,70.14,6.6,287.28,Wheat,1.94,Rice
80.6,42.15,36.5,30.9,76.23,6.04,204.32,Wheat,0.2,Maize
78.73,55.39,22.06,30.99,66.86,6.37,212.42,Rice,0.43,Maize
33.63,74.47,18.89,26.06,61.43,6.18,55.97,Wheat,0.57,PigeonPeas
28.2,74.07,21.68,25.86,68.74,5.52,76.49,Rice,0.22,MungBean
18.49,48.61,89.05,16.08,52.54,7.53,38.39,Millet,0.82,Chickpea
20.73,41.5,85.53,10.71,48.91,7.22,25.24,Maize,0.64,Chickpea
91.82,48.94,27.06,31.21,78.55,6.63,265.06,Rice,0.44,Maize
39.0,23.35,34.45,11.33,57.26,6.83,35.14,Maize,0.8,Mustard
84.09,41.97,25.0,32.84,70.25,6.66,233.56,Wheat,0.8,Maize
24.25,66.08,16.14,25.63,66.35,6.08,77.66,Wheat,0.83,PigeonPeas
34.23,65.6,15.03,27.06,67.42,6.16,62.0,Rice,0.11,PigeonPeas
23.34,30.13,29.0,14.22,69.31,6.76,32.42,Wheat,0.82,Mustard
77.93,59.74,30.3,31.4,75.89,7.46,256.6,Wheat,0.43,Maize
29.61,74.74,16.7,27.21,58.28,5.87,76.0,Rice,0.72,MungBean
83.4,40.15,26.62,31.36,78.32,7.4,297.09,Rice,0.97,Maize
86.49,59.26,58.97,28.49,70.97,7.83,259.89,Rice,1.91,Sugarcane
79.11,54.98,52.14,32.08,75.09,7.43,235.0,Wheat,0.47,Sugarcane
25.53,31.51,88.24,16.81,57.85,7.54,28.38,Maize,0.26,Chickpea
80.91,45.48,53.09,35.0,85.49,6.86,287.72,Wheat,0.31,Sugarcane
24.65,74.95,21.64,29.48,50.7,6.48,97.59,Rice,0.1,PigeonPeas
92.47,60.0,31.27,14.51,60.19,7.23,21.53,PigeonPeas,0.57,Wheat
36.93,34.31,21.94,19.46,52.2,6.3,16.72,Wheat,0.92,Mustard
38.09,74.95,24.41,29.23,54.05,5.64,73.21,Wheat,0.25,MungBean
32.56,62.15,22.92,27.14,67.36,5.72,56.75,Wheat,9.28,MungBean
24.16,41.35,77.44,11.08,44.05,7.33,19.26,Maize,0.2,Chickpea
74.36,48.95,41.82,33.88,72.51,6.84,295.75,Maize,0.2,Rice
87.06,49.56,58.53,29.2,72.17,6.13,256.9,Wheat,0.94,Sugarcane
28.65,25.89,26.32,11.46,56.7,6.5,24.45,Maize,0.61,Mustard
75.82,46.42,42.56,32.84,83.52,7.48,294.11,Wheat,0.83,Sugarcane
91.2,48.66,38.12,30.25,73.36,7.28,235.1,Rice,1.44,Maize
77.86,42.46,52.32,29.85,77.75,6.3,293.69,Wheat,0.27,Rice
91.57,44.06,30.76,31.59,70.43,6.28,256.52,Wheat,1.74,Maize
83.35,53.87,35.83,31.42,70.84,6.64,281.39,Wheat,0.83,Maize
22.66,30.11,73.49,11.3,57.42,7.9,21.76,Maize,0.53,Chickpea
22.93,76.63,18.25,27.7,57.26,6.21,87.66,Wheat,0.92,MungBean
27.08,72.88,18.35,26.24,56.41,6.39,86.63,Rice,0.78,MungBean
84.02,40.98,43.3,31.61,71.61,7.46,253.95,Wheat,0.11,Sugarcane
37.41,38.47,33.64,19.96,58.0,6.34,38.05,Wheat,0.94,Mustard
72.35,43.91,58.81,33.65,74.58,5.63,280.56,Maize,0.27,Rice
91.86,59.42,26.73,28.73,66.55,6.99,271.28,Rice,0.69,Maize
89.4,58.29,56.34,29.88,78.66,7.23,211.69,Rice,0.42,Sugarcane
102.74,58.15,36.85,19.65,72.84,7.24,11.62,PigeonPeas,0.91,Wheat
18.3,49.7,71.5,11.94,55.52,7.04,26.35,Millet,0.85,Chickpea
78.75,57.13,57.43,33.95,75.6,5.63,290.98,Wheat,1.65,Rice
78.38,40.61,36.94,17.65,67.19,6.53,48.68,Rice,0.13,Wheat
85.66,58.89,44.25,34.11,80.59,5.93,225.48,Wheat,0.99,Rice
22.85,41.91,77.81,15.03,44.58,7.18,36.23,Maize,0.57,Chickpea
86.01,41.79,51.67,34.4,88.42,7.41,254.5,Rice,0.49,Sugarcane
20.9,73.14,20.39,28.93,57.98,5.82,51.91,Rice,1.05,MungBean
20.7,63.68,24.17,27.93,66.48,6.49,59.17,Wheat,0.25,MungBean
36.82,73.25,18.01,27.33,65.19,5.92,63.24,Wheat,0.59,MungBean
88.4,49.65,29.99,29.27,75.54,6.18,204.82,Rice,0.61,Maize
64.16,54.98,44.11,28.22,74.69,6.74,250.26,Fallow,0.18,Rice
30.84,67.64,23.6,29.4,62.03,5.64,56.18,Wheat,0.7,MungBean
91.82,57.53,38.58,15.43,69.3,7.23,36.3,Rice,0.79,Wheat
86.04,59.61,37.61,29.81,71.1,6.8,287.76,Wheat,0.79,Maize
84.56,49.42,22.54,33.5,66.94,6.8,238.94,Rice,0.99,Maize
26.1,21.41,27.26,15.3,67.73,6.98,21.07,Wheat,0.93,Mustard
83.19,40.21,50.94,31.41,70.43,7.31,266.9,Wheat,0.88,Sugarcane
76.94,54.02,58.74,31.65,74.8,7.69,237.98,Wheat,0.46,Sugarcane
84.02,56.25,33.59,12.46,73.81,6.14,39.12,Rice,0.34,Wheat
38.49,79.42,22.03,26.28,50.84,5.54,90.3,Wheat,0.66,PigeonPeas
36.87,20.84,23.46,16.32,51.82,6.21,30.55,Wheat,0.96,Mustard
77.34,48.31,28.4,12.13,70.25,6.71,31.94,Rice,0.99,Wheat
29.22,72.5,17.19,29.5,65.96,5.9,75.11,Rice,0.23,PigeonPeas
85.8,51.03,31.02,11.69,68.11,7.04,15.49,Rice,0.79,Wheat
78.18,45.9,34.7,30.2,79.47,7.05,230.69,Rice,0.52,Maize
79.02,44.63,26.69,19.94,77.41,6.93,18.09,Rice,0.15,Wheat
78.31,57.07,57.59,32.76,86.96,6.19,285.62,Maize,0.27,Rice
26.69,38.13,73.35,12.85,48.77,7.65,34.61,Maize,0.23,Chickpea
91.37,60.24,29.63,19.41,79.7,7.26,37.73,MungBean,0.79,Wheat
28.32,77.53,24.1,26.84,57.02,6.21,91.12,Rice,0.21,PigeonPeas
79.48,44.16,36.56,11.3,66.98,7.26,41.25,Rice,0.96,Wheat
35.91,65.82,22.1,29.87,56.63,6.44,66.03,Wheat,0.43,PigeonPeas
15.82,48.67,73.11,12.68,54.28,7.22,42.46,Millet,0.61,Chickpea
75.17,40.99,48.96,34.59,88.03,6.97,277.29,Wheat,0.45,Rice
20.38,30.45,70.34,13.86,57.08,7.15,16.31,Maize,0.4,Chickpea
23.84,69.65,15.71,28.44,50.15,5.63,96.51,Wheat,0.23,MungBean
91.91,49.38,30.48,30.61,68.11,6.61,284.04,Wheat,0.75,Maize
64.98,37.37,54.32,33.01,72.53,6.06,287.3,Fallow,0.2,Rice
89.34,53.04,36.68,32.31,73.88,6.16,261.94,Wheat,0.81,Maize
29.09,29.65,36.78,18.82,63.97,6.7,43.29,Wheat,0.64,Mustard
86.7,54.04,59.37,33.63,71.04,6.65,261.04,Rice,0.71,Sugarcane
89.09,41.86,23.97,30.39,62.96,6.17,245.61,Rice,0.87,Maize
26.75,78.92,16.6,29.31,64.4,6.17,82.58,Rice,9.39,PigeonPeas
28.31,67.07,22.95,29.36,58.21,6.19,67.32,Wheat,0.61,PigeonPeas
75.22,45.76,34.55,32.98,70.49,6.52,285.09,Wheat,0.82,Maize
79.14,47.44,23.09,31.8,74.32,6.87,270.28,Wheat,0.64,Maize
35.38,61.62,19.15,29.35,55.76,6.46,99.94,Wheat,8.52,PigeonPeas
25.84,42.34,84.5,19.34,52.48,7.66,24.62,Maize,0.12,Chickpea
19.69,43.48,79.56,11.66,43.71,7.93,17.57,Maize,0.96,Chickpea
90.53,58.33,39.19,11.64,63.79,6.82,16.56,MungBean,0.47,Wheat
39.5,28.48,26.46,15.27,53.93,6.27,49.4,Maize,0.68,Mustard
88.02,45.92,37.42,28.93,73.28,6.52,230.1,Wheat,0.27,Maize
94.87,43.68,23.96,34.4,66.98,6.2,267.18,Wheat,1.41,Maize
91.53,52.14,37.76,29.73,72.51,6.49,211.48,Wheat,1.51,Maize
31.42,75.01,22.58,28.57,66.36,5.55,85.09,Wheat,0.58,PigeonPeas
25.03,64.15,15.77,28.83,63.5,5.97,50.16,Wheat,0.83,MungBean
91.43,59.01,21.84,11.63,61.57,6.01,11.58,Rice,0.8,Wheat
81.54,50.09,36.08,18.01,61.94,6.94,25.73,Rice,0.47,Wheat
25.04,25.08,30.07,12.01,52.38,6.17,29.9,Wheat,0.53,Mustard
88.83,48.79,35.24,18.26,61.89,6.88,35.17,Rice,0.61,Wheat
23.05,37.43,70.79,15.04,58.92,7.47,33.85,Maize,0.58,Chickpea
31.23,34.97,37.38,13.81,52.38,6.74,14.0,Wheat,0.39,Mustard
39.7,21.49,39.93,18.28,63.59,6.25,14.14,Wheat,0.49,Mustard
75.04,54.74,28.64,33.53,74.61,7.38,259.93,Wheat,0.43,Maize
39.8,31.9,27.92,15.04,67.87,6.04,46.42,Maize,0.34,Mustard
28.25,64.77,22.53,28.59,50.21,5.54,53.0,Wheat,0.31,MungBean
27.69,20.69,22.32,10.36,66.19,6.88,20.61,Wheat,0.47,Mustard
19.34,31.44,77.4,15.95,56.62,7.09,32.01,Millet,0.51,Chickpea
34.41,28.21,21.78,14.1,61.35,6.52,42.92,Maize,0.58,Mustard
79.49,56.34,28.06,16.23,77.24,7.24,44.38,Rice,0.6,Wheat
71.67,46.6,57.36,34.93,82.74,6.86,251.32,Maize,0.58,Rice
21.51,76.32,19.89,27.14,58.78,6.35,71.82,Rice,1.56,PigeonPeas
84.32,48.43,54.87,30.03,83.63,7.19,278.98,Wheat,0.24,Sugarcane
32.45,27.6,39.9,10.55,67.88,6.11,45.28,Maize,0.97,Mustard
90.74,59.3,39.62,34.44,73.49,7.17,255.48,Rice,0.33,Maize
38.61,77.34,24.61,25.3,68.81,5.84,93.49,Wheat,0.68,MungBean
78.26,52.03,56.34,29.22,88.98,5.81,226.33,Wheat,0.28,Rice
29.65,64.73,20.45,25.29,59.76,5.96,74.05,Rice,0.33,PigeonPeas
21.59,71.22,24.3,26.75,59.09,5.82,79.38,Wheat,0.45,MungBean
91.93,56.37,27.12,29.83,68.99,7.05,281.29,Rice,0.16,Maize
27.79,25.28,30.56,13.63,57.26,6.66,34.71,Maize,0.96,Mustard
16.76,43.54,78.61,17.37,58.44,7.01,34.25,Maize,0.81,Chickpea
89.78,55.21,23.06,14.0,67.01,6.55,33.18,Rice,0.66,Wheat
74.25,53.01,54.03,31.81,85.75,7.08,247.59,Wheat,0.84,Sugarcane
75.65,59.64,23.32,19.37,68.59,7.32,46.72,Rice,0.76,Wheat
27.04,27.77,32.02,10.06,59.15,6.83,11.15,Wheat,0.17,Mustard
26.55,66.77,24.66,29.79,50.28,6.26,83.12,Rice,1.23,PigeonPeas
78.53,47.77,47.53,30.73,83.67,6.16,232.89,Wheat,0.46,Rice
22.5,40.27,78.51,19.42,46.76,7.93,20.23,Millet,0.33,Chickpea
20.18,45.95,76.36,16.92,50.5,7.63,21.8,Maize,0.47,Chickpea
80.2,42.3,29.14,17.54,71.59,6.48,31.52,Maize,1.9,Wheat
28.96,70.43,22.51,27.85,65.27,5.84,60.88,Wheat,0.33,MungBean
78.74,56.84,37.93,32.69,79.2,7.03,239.01,Rice,1.18,Maize
105.34,54.24,21.33,15.97,64.88,7.05,26.92,MungBean,0.24,Wheat
21.03,37.64,86.73,12.18,45.55,7.44,41.66,Maize,0.85,Chickpea
33.34,25.12,22.55,13.4,60.69,6.2,19.26,Wheat,0.75,Mustard
76.68,47.72,45.86,30.02,78.26,5.56,260.35,Wheat,0.32,Rice
75.39,50.29,25.51,34.46,72.14,6.59,202.27,Wheat,0.18,Maize
24.7,26.9,33.41,18.68,69.44,6.15,42.68,Maize,1.89,Mustard
29.93,29.1,34.52,19.54,52.85,6.56,29.42,Wheat,0.51,Mustard
85.03,48.74,32.95,14.65,71.16,6.63,19.19,Rice,0.81,Wheat
71.11,43.64,47.1,34.25,78.63,6.6,254.81,Rice,0.29,Sugarcane
25.74,68.71,23.81,26.92,53.86,6.18,98.5,Wheat,0.53,PigeonPeas
91.3,49.97,20.56,12.89,69.48,7.12,39.77,Rice,0.66,Wheat
82.32,41.13,22.0,34.71,76.78,6.03,231.76,Rice,0.69,Maize
36.92,60.99,24.99,29.28,52.49,6.04,78.01,Wheat,0.84,MungBean
27.41,34.53,29.3,18.28,65.74,6.53,39.38,Wheat,0.59,Mustard
36.85,79.38,20.34,27.3,59.02,5.63,74.6,Wheat,0.1,PigeonPeas
21.35,40.87,87.28,17.58,59.61,7.76,15.92,Maize,0.77,Chickpea
24.57,78.88,17.47,25.58,68.4,6.18,85.42,Rice,0.46,MungBean
25.09,71.4,17.83,28.46,56.38,6.02,65.17,Wheat,0.53,PigeonPeas
22.75,70.33,22.77,25.36,61.61,6.42,89.41,Rice,0.76,MungBean
26.73,37.6,26.43,10.62,62.96,6.54,39.76,Maize,0.92,Mustard
75.72,42.65,58.29,30.96,83.27,7.28,289.9,Rice,0.62,Sugarcane
20.63,39.94,37.98,16.31,59.77,6.08,44.78,Wheat,0.49,Mustard
33.01,31.24,35.59,16.77,65.41,6.03,18.33,Wheat,0.21,Mustard
32.29,27.18,20.29,12.57,59.91,6.94,14.1,Maize,0.18,Mustard
20.98,68.21,20.52,27.62,51.92,6.35,82.49,Rice,0.55,PigeonPeas
71.21,43.06,43.62,33.96,73.46,6.22,220.02,Fallow,0.83,Rice
20.71,79.83,22.87,27.89,64.36,6.23,56.83,Rice,0.96,MungBean
23.43,61.08,15.21,26.29,56.35,5.73,96.74,Rice,0.43,PigeonPeas
32.9,20.85,37.4,15.89,59.03,6.95,38.46,Maize,0.33,Mustard
30.02,63.32,23.58,25.08,55.74,5.88,70.31,Rice,1.29,MungBean
31.55,20.39,36.42,17.18,50.02,6.55,25.75,Maize,0.98,Mustard
27.11,44.08,78.35,13.22,55.61,7.69,41.55,Millet,0.98,Chickpea
34.73,25.59,30.17,17.67,55.98,6.71,37.58,Maize,0.2,Mustard
29.07,69.35,22.06,26.42,69.78,5.95,84.61,Rice,0.3,PigeonPeas
87.83,43.42,21.27,28.61,78.8,6.76,273.03,Wheat,0.68,Maize
37.64,38.77,38.81,11.31,58.31,6.98,45.93,Maize,0.72,Mustard
86.47,55.97,31.98,33.78,75.85,7.02,209.61,Wheat,0.13,Maize
89.39,56.86,28.26,15.18,71.88,6.02,43.28,Rice,0.32,Wheat
34.55,63.78,21.54,27.12,53.37,6.15,80.92,Rice,0.22,MungBean
28.89,63.7,24.01,26.97,52.93,6.12,74.84,Rice,0.6,PigeonPeas
86.07,44.46,23.07,10.9,68.8,6.64,41.41,Rice,0.95,Wheat
89.9,47.9,57.45,33.75,84.87,5.99,283.19,Wheat,0.22,Rice
26.93,70.97,23.0,26.76,53.02,6.28,62.84,Wheat,1.63,MungBean
83.29,42.05,52.79,33.4,89.17,6.2,256.43,Wheat,0.19,Rice
29.31,34.41,81.92,18.15,58.52,7.02,42.38,Millet,0.73,Chickpea
75.63,45.62,36.01,11.67,72.75,7.45,42.43,Maize,0.41,Wheat
16.9,49.59,77.63,10.76,54.07,7.26,29.59,Maize,5.82,Chickpea
83.5,53.28,29.11,19.96,61.56,7.22,39.02,Rice,0.19,Wheat
22.41,60.1,15.63,28.01,57.59,6.32,52.52,Rice,1.64,PigeonPeas
93.89,47.34,22.66,28.67,68.77,6.42,237.93,Wheat,0.33,Maize
88.58,57.82,29.58,19.66,60.4,6.0,18.61,Rice,0.11,Wheat
16.66,43.16,71.78,14.06,51.42,7.91,19.78,Millet,0.2,Chickpea
79.7,56.75,31.23,13.78,69.34,6.98,27.01,Rice,0.85,Wheat
61.64,41.5,55.53,33.28,78.64,6.19,273.76,Fallow,1.74,Rice
23.81,49.52,77.63,15.78,59.58,7.75,46.79,Millet,0.64,Chickpea
25.76,76.56,24.47,25.55,56.94,5.56,69.61,Rice,1.17,MungBean
22.95,38.93,83.37,18.98,42.77,7.63,32.99,Millet,0.22,Chickpea
89.3,54.33,36.74,34.34,69.14,6.19,247.87,Rice,0.84,Maize
24.49,46.9,79.13,14.48,45.01,7.88,21.28,Millet,0.38,Chickpea
20.3,67.82,23.88,25.83,66.3,6.37,80.25,Rice,1.23,PigeonPeas
71.2,38.53,44.86,31.78,74.36,6.55,262.44,Fallow,0.94,Rice
20.45,63.74,18.23,27.36,62.67,5.64,85.46,Wheat,0.11,MungBean
33.06,29.1,32.52,17.18,69.8,6.28,43.3,Maize,0.23,Mustard
20.39,69.93,22.54,26.16,64.07,6.17,82.03,Wheat,0.26,PigeonPeas
65.13,48.18,59.43,31.46,74.73,6.71,295.83,Fallow,0.29,Rice
82.74,50.01,53.7,29.84,78.1,6.12,219.93,Rice,1.63,Sugarcane
37.07,71.86,19.85,27.04,50.9,5.85,67.47,Rice,0.46,MungBean
88.31,48.61,39.88,13.87,65.39,6.27,23.34,Rice,1.44,Wheat
80.36,45.91,58.82,34.18,80.17,6.74,262.33,Maize,0.99,Rice
27.18,42.67,71.82,15.02,54.41,7.5,14.14,Maize,0.57,Chickpea
88.56,41.75,20.52,17.99,71.41,6.87,47.87,Rice,0.76,Wheat
33.05,62.6,24.94,25.89,54.65,5.95,60.24,Wheat,1.51,MungBean
25.18,39.04,80.87,12.06,50.54,7.09,47.23,Millet,0.61,Chickpea
20.2,67.98,23.38,27.87,62.78,6.21,68.74,Rice,0.74,MungBean
86.51,51.82,56.23,33.25,83.1,6.95,241.75,Rice,0.72,Sugarcane
19.36,49.95,74.22,15.52,52.0,7.46,31.67,Maize,0.24,Chickpea
26.48,64.72,22.58,27.31,54.87,5.67,77.62,Rice,1.17,PigeonPeas
81.08,52.53,26.96,19.09,60.38,6.9,49.7,Rice,0.48,Wheat
82.55,59.66,32.18,18.31,73.64,6.63,40.48,Rice,1.38,Wheat
33.85,69.67,23.15,29.0,52.18,6.36,82.36,Wheat,0.59,MungBean
80.92,44.84,55.59,32.33,78.57,6.1,257.01,Wheat,0.59,Sugarcane
88.96,43.0,28.74,30.6,66.49,6.82,225.57,Wheat,0.31,Maize
80.95,48.23,59.25,28.63,72.56,5.77,281.4,Maize,0.95,Rice
34.62,60.21,22.42,29.42,56.49,6.34,67.8,Wheat,0.84,PigeonPeas
80.52,46.52,26.27,28.2,74.32,6.19,275.15,Rice,0.81,Maize
23.11,79.46,23.85,25.54,53.85,5.88,88.05,Rice,0.3,PigeonPeas
85.86,56.9,27.05,13.28,75.1,6.94,43.86,Rice,0.62,Wheat
20.08,32.79,28.89,16.96,67.5,6.15,24.61,Wheat,0.73,Mustard
33.88,76.09,16.49,26.97,56.28,6.45,88.88,Rice,0.97,MungBean
76.72,59.91,44.83,34.18,74.08,7.64,252.0,Wheat,0.62,Sugarcane
35.45,28.63,37.76,11.87,57.66,6.9,32.0,Maize,13.84,Mustard
92.98,57.88,21.12,30.96,70.13,7.27,224.61,Wheat,0.41,Maize
29.15,29.83,36.57,11.95,54.88,6.43,16.19,Maize,0.89,Mustard
36.36,79.17,16.75,28.49,69.1,6.43,52.58,Wheat,0.46,PigeonPeas
17.91,36.01,71.45,15.0,41.32,7.3,25.18,Maize,0.75,Chickpea
20.14,38.77,20.67,13.13,65.67,6.66,10.93,Wheat,0.6,Mustard
93.3,52.81,29.96,35.0,64.7,6.71,202.41,Rice,0.22,Maize
26.75,66.94,19.05,26.88,55.16,5.65,63.75,Rice,0.21,PigeonPeas
16.27,37.96,78.3,18.13,51.61,7.02,10.98,Maize,0.11,Chickpea
75.06,55.39,21.71,13.7,68.16,7.34,20.56,Rice,0.79,Wheat
32.23,67.95,22.44,26.16,69.22,6.27,70.64,Wheat,0.73,PigeonPeas
80.8,48.39,23.27,19.07,62.45,7.48,11.7,Rice,0.46,Wheat
18.76,44.58,84.63,16.96,58.52,7.18,23.65,Millet,0.28,Chickpea
35.83,22.89,39.12,18.87,68.0,6.39,13.51,Maize,0.67,Mustard
75.6,59.2,50.64,30.37,83.3,7.0,233.77,Rice,0.96,Sugarcane
21.82,70.78,23.89,27.9,61.51,6.08,68.1,Rice,0.63,MungBean
93.93,54.51,30.18,28.12,61.48,6.43,280.38,Wheat,0.53,Maize
30.46,29.78,32.25,10.05,66.2,6.38,29.31,Maize,0.96,Mustard
93.53,46.23,31.76,10.66,64.58,7.31,41.13,Maize,0.21,Wheat
89.8,42.68,58.55,32.91,73.81,6.17,278.06,Wheat,0.37,Sugarcane
30.85,62.72,21.94,26.2,65.72,5.86,95.35,Rice,0.29,PigeonPeas
74.9,41.45,49.8,34.88,75.69,6.15,267.11,Fallow,0.76,Rice
20.23,31.16,25.05,19.05,51.95,6.97,46.78,Wheat,0.68,Mustard
23.53,20.6,32.09,16.21,51.1,6.96,25.69,Wheat,0.46,Mustard
86.38,52.49,30.73,10.34,61.94,7.4,10.77,Rice,0.47,Wheat
83.92,45.85,43.95,31.39,70.52,7.13,214.24,Wheat,0.54,Sugarcane
26.0,73.47,16.67,26.6,55.38,6.07,66.26,Rice,0.79,MungBean
89.75,52.98,34.35,32.0,77.85,7.4,202.49,Wheat,8.42,Maize
75.83,55.43,25.31,32.62,68.02,6.16,268.24,Wheat,0.57,Maize
85.65,55.02,48.96,32.6,70.38,7.28,250.53,Wheat,0.24,Sugarcane
25.63,67.11,15.82,26.73,54.01,5.58,60.52,Wheat,0.22,MungBean
85.0,51.4,32.78,28.12,72.37,6.79,280.34,Wheat,0.57,Maize
82.47,55.7,35.63,17.94,77.74,6.5,35.1,Rice,0.83,Wheat
20.49,30.27,77.05,17.57,42.45,7.58,47.92,Millet,0.24,Chickpea
26.32,79.17,15.04,25.74,62.51,6.12,54.83,Rice,0.42,PigeonPeas
86.77,51.49,32.98,31.33,60.3,6.77,227.4,Wheat,0.34,Maize
71.26,52.98,41.32,31.16,88.87,5.56,213.27,Wheat,0.29,Rice
21.85,66.66,18.76,26.18,61.94,5.71,52.26,Wheat,0.88,PigeonPeas
78.51,45.43,41.08,32.49,85.32,6.49,250.41,Wheat,7.88,Rice
34.27,68.87,24.37,28.17,51.62,6.42,74.59,Wheat,6.11,MungBean
106.63,64.63,34.31,11.08,67.85,6.56,21.96,MungBean,1.41,Wheat
87.32,45.23,55.12,33.37,71.36,6.34,202.87,Maize,0.93,Rice
90.79,41.39,28.93,14.05,64.69,6.83,44.64,Rice,0.2,Wheat
25.3,29.09,20.08,15.4,63.25,6.89,47.61,Maize,0.15,Mustard
25.63,65.88,24.4,28.84,60.89,6.16,94.84,Rice,0.6,MungBean
35.6,60.75,16.61,26.53,58.33,6.26,83.98,Wheat,0.7,PigeonPeas
86.4,58.15,48.25,33.34,72.1,6.01,228.9,Wheat,0.71,Sugarcane
38.77,64.41,18.15,26.08,51.05,5.68,85.08,Rice,0.12,MungBean
90.86,42.12,37.77,12.73,68.2,7.16,40.37,Rice,0.35,Wheat
83.37,49.2,22.56,33.83,75.57,6.88,272.56,Rice,0.11,Maize
78.22,48.84,41.21,34.16,85.54,6.92,205.26,Wheat,0.31,Sugarcane
88.4,43.82,39.23,34.92,72.35,6.97,264.9,Rice,0.37,Maize
74.61,59.24,57.51,30.79,74.5,7.8,207.96,Wheat,1.51,Sugarcane
78.03,46.99,47.25,33.27,89.27,5.94,218.06,Fallow,0.93,Rice
84.84,40.59,21.42,32.61,66.72,6.11,233.93,Rice,0.67,Maize
35.08,73.18,15.31,27.48,54.29,5.77,89.68,Wheat,1.65,MungBean
71.45,41.11,50.25,31.41,72.2,6.11,274.07,Wheat,0.99,Sugarcane
93.08,40.5,30.78,10.84,64.16,6.43,42.96,Rice,1.2,Wheat
26.47,32.63,78.17,16.94,44.95,7.58,28.79,Maize,0.14,Chickpea
21.2,35.01,74.87,13.62,59.4,7.34,18.67,Maize,0.52,Chickpea
73.9,54.08,40.9,32.47,80.23,6.42,252.28,Wheat,0.52,Rice
20.88,79.97,19.61,28.73,67.33,6.05,53.46,Wheat,1.64,PigeonPeas
77.56,57.08,28.75,18.04,70.52,6.76,46.69,Maize,1.15,Wheat
71.19,49.69,51.1,32.03,75.76,6.01,227.26,Wheat,0.95,Sugarcane
80.41,50.22,52.45,34.56,75.85,6.87,232.07,Maize,0.28,Rice
33.2,28.66,36.35,10.99,52.72,6.17,13.81,Maize,0.25,Mustard
25.22,76.52,21.04,26.94,60.46,5.96,69.28,Rice,0.23,MungBean
85.21,50.21,58.18,32.87,84.88,7.16,282.89,Wheat,0.65,Sugarcane
80.73,56.08,34.87,34.86,78.54,6.58,201.02,Rice,0.95,Maize
97.79,50.7,39.8,16.12,76.86,7.23,13.04,PigeonPeas,0.3,Wheat
27.27,79.82,15.8,26.85,66.51,5.75,52.69,Rice,0.21,PigeonPeas
79.18,53.97,30.44,32.83,69.87,6.2,210.25,Rice,0.62,Maize
85.99,59.77,28.56,33.12,70.88,6.02,212.45,Wheat,0.11,Maize
29.86,20.23,22.31,10.95,51.83,6.26,19.91,Wheat,0.86,Mustard
80.93,54.43,25.2,28.62,69.39,7.43,258.3,Rice,0.75,Maize
29.4,30.07,36.13,10.53,62.97,6.89,42.58,Maize,0.33,Mustard
70.78,42.11,56.14,28.8,71.14,5.73,250.33,Maize,0.57,Rice
